Issue,Name,Responder,SIG,KEP,KEP_State,Completed_in_Release
5,Pod Security Policy,tallclair,auth,No KEP,none,
18,Addon management layer,justinsb,cluster-lifecycle,No KEP,none,
19,CronJobs (previously ScheduledJobs),soltysh kow3ns,apps,https://github.com/kubernetes/enhancements/pull/978,provisional,
24,Add AppArmor support,tallclair,auth,No KEP,none,
34,Add sysctl support,derekwaynecarr sttts,node,No KEP,none,
85,PodDisruptionBudget and /eviction subresource,mortent davidopp,apps,https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/20190318-PodDisruptionBudget-graduation-to-stable.md,implementable,
117,Arbitrary/Custom Metrics in the Horizontal Pod Autoscaler,mwielgus josephburnett,autoscaling,No KEP,none,
127,Support node-level user namespace remapping,derekwaynecarr,node,No KEP,invalid,
135,Seccomp,tallclair pweil-,node,https://github.com/kubernetes/enhancements/pull/1257,provisional,
166,Taint Based Eviction,gmarek k82cn Huang-Wei,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20200114-taint-based-evictions.md,implementable,
177,Snapshot / Restore Volume Support for Kubernetes (CRD + External Controller),xing-yang jingxu97,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190709-csi-snapshot.md,implementable,
213,Provide RunAsGroup feature for Containers in a Pod,krmayankk liggittÂ,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20190131-runas-groupid.md,implementable,
266,Kubelet Client TLS Certificate Rotation,jcbsmpsn,auth,No KEP,none,
267,Kubelet Server TLS Certificate Rotation,jcbsmpsn,auth,No KEP,none,
277,Ephemeral Containers,verb,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20190212-ephemeral-containers.md,implementable,
279,Limit node access to API,liggitt,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/0000-20170814-bounding-self-labeling-kubelets.md,implementable,
281,Dynamic Kubelet Configuration,mtaufen,node,No KEP,none,
284,Add support for resizing PVs,gnufied,storage,https://github.com/kubernetes/enhancements/pull/1516,implementable,
351,Raw block device using persistent volume source,msau42,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20191008-raw-block-support.md,implementable,
357,Ability to create dynamic HA clusters with kubeadm,fabriziopandini,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/kubeadm/0015-kubeadm-join-control-plane.md,accepted,
361,Local Ephemeral Storage Capacity IsolationÂ,arunbpt7 jingxu97 vishh,storage,No KEP,none,
362,Supports Storage as Allocatable Resource,msau42 pohly,storage,No KEP,none,
365,Support paged LIST queries from the Kubernetes API,smarterclayton,api-machinery,No KEP,none,
382,Taint node by Condition,k82cn,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20191012-graduate-taint-node-by-condition-to-ga.md,implementable,1.17
383,Redesign Event API,wojtek-t yastij,instrumentation,https://github.com/kubernetes/enhancements/blob/master/keps/sig-instrumentation/20190131-event-series.md,implementable,
423,Support AWS Network Load Balancer,M00nF1sh justinsb micahhausler,aws,https://github.com/kubernetes/enhancements/blob/master/keps/sig-aws/20190501-aws-nlb-beta.md,implementable,
491,Kubectl Diff,apelisse,cli,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cli/20200115-kubectl-diff.md,implementable,
495,Configurable Pod Process Namespace Sharing,verb,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20190920-pod-pid-namespace.md,implementable,1.17
508,IPv6 support added,aojea,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190714-IPv6-beta-proposal.md,implementable,
531,Add support for online resizing of PVs,mlmhl,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190125-online-growing-persistent-volume-size.md,implementable,
536,Topology aware routing of services,m1093782566,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20181024-service-topology.md,implementable,
541,External client-go credential providers,awly,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/20190711-external-credential-providers.md,implementable,
542,TokenRequest API and Kubelet integration,mikedanese,auth,No KEP,none,
545,Enable kubectl to expose `ephemeral-storage` resource information,saad-ali NickrenREN,storage,No KEP,none,
548,Schedule DaemonSet Pods by kube-scheduler,k82cn,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20191011-graduate-schedule-daemonset-pods-to-ga.md,implementable,1.17
551,Node Failure Recover with ForceEvictione Taint,yastij,node,https://github.com/kubernetes/enhancements/pull/1116,implementable,
553,Deprecate ComponentStatus,lavalamp liggitt,cluster-lifecycle,No KEP,none,
554,Dynamic Maximum volume count,gnufied,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190408-volume-scheduling-limits.md,implementable,1.17
555,Server-side Apply,,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/0006-apply.md,implementable,
556,Add resizing support to CSI volumes,msau42,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-volume-resizing.md,implementable,
557,Kubernetes CSI topology support,msau42,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190124-csi-topology.md,implementable,1.17
559,Provide environment variables expansion in sub path mount,kevtaylor,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20181029-volume-subpath-env-expansion.md,implementable,1.17
563,Add IPv4/IPv6 dual-stack support,lachie83,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20180612-ipv4-ipv6-dual-stack.md,implementable,
565,CSI Block storage support,vladimirvivien bswartz,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190130-csi-raw-block-support.md,implementable,
575,Defaulting of Custom Resources,liggit nikhita stts,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190426-crd-defaulting.md,implementable,1.17
576,APIServer DryRun,apelisse,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/0015-dry-run.md,implementable,
585,RuntimeClass,tallclairÂ,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/runtime-class.md,implementable,
589,Move frequent Kubelet heartbeats to Lease API,wojtek-t wangzhen127,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/0009-node-heartbeat.md,implementable,1.17
592,TTL after finish,janetkuo,apps,https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/0026-ttl-after-finish.md,provisional,
596,CSI Inline Volume Support,pohly jsafraneÂ,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190122-csi-inline-volumes.md,implementable,
597,Max storage capacity per plugin per node,gnufied,storage,No KEP,none,
599,Introduce SchedulingPolicy,yastij,scheduling,No KEP,none,
600,Dynamic Audit Configuration,,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/0014-dynamic-audit-configuration.md,implementable,
603,Pass Pod information in CSI calls,gnufiedÂ,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-pod-info-on-mount.md,implementable,
